date;time;kinds;mode
2021:04:05;11:33:792326;2;2
2021:04:05;11:34:648359;2;1
2021:04:05;11:34:653466;2;2
2021:04:05;11:34:552567;1;2
2021:04:05;11:34:552052;2;2
2021:04:05;11:36:440379;2;1
2021:04:05;11:36:452746;2;2
2021:04:05;11:37:916453;2;1
2021:04:05;11:37:927073;2;2
2021:04:05;11:38:146849;2;2
2021:04:05;11:38:140187;2;1
2021:04:05;11:38:120520;2;2
2021:04:05;11:38:859858;2;2
2021:04:05;11:38:879450;2;2
2021:04:05;11:38:967405;1;2
2021:04:05;11:38:740201;1;2
2021:04:05;11:38:849591;1;2
2021:04:05;11:38:031652;1;1
2021:04:05;11:39:657127;2;1
2021:04:05;11:39:666830;2;1
2021:04:05;11:39:455799;1;2
2021:04:05;11:39:306325;1;2
2021:04:05;11:39:754208;1;2
2021:04:05;11:39:849360;1;1
2021:04:05;11:40:825366;2;2
2021:04:05;11:40:827021;2;2
2021:04:05;11:40:922323;2;1
2021:04:05;11:40:003532;2;1
2021:04:05;11:40:800256;2;2
2021:04:05;11:40:817357;2;2
2021:04:05;11:40:221412;1;2
2021:04:05;11:40:017951;2;2
2021:04:05;11:42:269771;2;2
2021:04:05;13:32:484452;1;2
2021:04:05;13:33:669211;1;1
2021:04:05;13:34:264516;1;2
2021:04:05;13:34:310890;1;2
2021:04:05;13:34:969097;2;2
2021:04:05;13:34:237145;2;2
2021:04:05;13:34:804825;1;1
2021:04:05;13:34:820187;1;1
2021:04:05;13:34:410166;2;2
2021:04:05;13:34:974721;2;1
2021:04:05;13:34:367348;2;2
2021:04:05;13:34:735046;2;2
2021:04:05;13:34:818795;2;2
2021:04:05;13:34:995627;2;1
2021:04:05;13:34:286740;2;2
2021:04:05;13:35:461964;2;2
2021:04:05;13:38:480068;2;2
2021:04:05;13:38:733166;2;1
2021:04:05;13:38:775043;2;1
2021:04:05;13:40:080862;2;2
2021:04:05;13:40:080862;2;2
2021:04:05;13:40:925736;1;2
2021:04:05;13:40:927062;1;2
2021:04:05;13:41:078915;1;1
2021:04:05;13:41:095341;1;1
2021:04:05;13:41:700439;1;2
2021:04:05;13:41:727983;1;2
2021:04:05;13:41:871814;1;2
2021:04:05;13:41:898292;1;2
2021:04:05;13:41:906956;1;2
2021:04:05;13:41:920681;1;2
2021:04:05;13:41:485302;1;1
2021:04:05;13:41:499918;1;1
2021:04:05;13:41:071920;1;2
2021:04:05;13:41:091620;1;2
2021:04:06;14:34:252788;2;2
2021:04:06;15:00:283124;1;2
2021:04:06;15:02:937502;2;2
2021:04:06;15:02:970084;1;2
2021:04:06;15:11:511703;1;2
2021:04:06;15:19:313045;2;2
2021:04:06;15:19:328277;1;2
2021:04:09;16:05:404233;1;2
2021:04:09;16:05:405617;2;2
2021:04:12;10:17:259382;1;2
2021:04:19;10:16:740850;1;2
2021:04:19;10:16:759664;2;2
2021:04:20;16:36:236905;1;2
2021:04:20;16:36:240693;2;2
2021:04:20;16:36:949006;1;1
2021:04:20;16:36:727695;1;2
2021:04:20;16:36:200634;1;1
2021:04:20;16:36:185771;1;2
2021:04:20;16:37:354560;1;2
2021:04:20;16:37:292044;1;2
2021:04:20;16:43:838428;1;1
2021:04:20;16:43:367939;1;2
2021:04:20;16:44:313903;1;1
2021:04:20;16:44:061804;2;1
2021:04:20;16:44:540929;2;2
2021:04:20;16:44:375103;1;2
2021:04:20;16:44:243309;2;1
2021:04:20;16:45:124898;2;2
2021:04:20;16:45:229131;2;1
2021:04:20;16:45:101689;2;2
2021:04:20;16:45:866294;2;2
2021:04:20;16:45:041730;2;2
2021:04:20;16:45:248106;1;1
2021:04:20;16:45:820638;1;2
2021:04:20;16:45:685858;1;2
2021:04:20;16:45:262476;1;2
2021:04:20;16:45:330063;1;2
2021:04:20;16:45:705337;1;2
2021:04:20;16:45:275811;1;2
2021:04:20;16:45:751632;1;2
2021:04:20;16:46:239642;1;1
2021:04:20;16:46:610101;1;2
2021:04:20;16:46:077547;1;2
2021:04:20;16:46:353444;1;2
2021:04:20;16:46:717862;1;2
2021:04:20;16:46:993261;1;2
2021:04:20;16:46:264999;1;2
2021:04:20;16:46:105659;1;2
2021:04:20;16:46:424243;2;1
2021:04:20;16:46:100352;2;2
2021:04:20;16:46:465703;2;2
2021:04:20;16:46:953229;2;2
2021:04:20;16:46:538411;2;1
2021:04:20;16:46:708782;2;2
2021:04:20;16:46:272246;2;2
2021:04:20;16:46:747398;2;2
2021:04:20;16:47:319168;2;1
2021:04:20;16:47:293911;2;2
2021:04:20;16:47:899685;2;1
2021:04:20;16:47:069083;2;2
2021:04:20;16:47:331850;2;2
2021:04:20;16:48:185002;2;1
2021:04:20;16:48:157642;2;2
2021:04:20;16:48:634855;2;1
2021:04:20;16:48:106110;2;2
2021:04:20;16:48:570815;2;2
2021:04:20;16:48:547924;2;2
2021:04:20;16:48:415153;2;2
2021:04:20;16:48:691658;2;2
2021:04:20;16:49:180649;2;1
2021:04:20;16:49:551776;2;2
2021:04:20;16:49:016274;2;2
2021:04:20;16:49:291436;2;2
2021:04:20;16:49:555587;2;2
2021:04:20;16:49:830492;2;2
2021:04:20;16:49:096806;2;2
2021:04:20;16:49:473719;2;2
2021:04:20;16:49:639650;2;2
2021:04:20;16:49:814696;2;2
2021:04:20;16:49:183056;2;2
2021:04:20;16:49:760064;2;2
2021:04:20;16:49:229397;2;2
2021:04:20;16:49:809749;2;2
2021:04:20;16:50:785652;2;1
2021:04:20;16:50:158590;2;2
2021:04:20;16:50:422778;2;2
2021:04:20;16:50:597673;2;2
2021:04:20;16:50:112932;2;2
2021:04:20;16:50:376880;2;2
2021:04:20;16:50:064577;2;2
2021:04:20;16:50:055537;2;1
2021:04:20;16:50:827998;2;2
2021:04:20;16:50:993205;2;2
2021:04:20;16:50:271382;2;2
2021:04:20;16:50:738909;2;2
2021:04:20;16:50:118756;2;2
2021:04:20;16:50:815521;2;1
2021:04:20;16:50:489271;2;2
2021:04:20;16:50:454327;2;2
2021:04:20;16:50:632017;2;2
2021:04:20;16:50:897021;2;2
2021:04:20;16:50:072196;2;2
2021:04:20;16:50:738880;2;2
2021:04:20;16:50:315152;2;2
2021:04:20;16:50:382067;2;2
2021:04:20;16:50:258968;2;2
2021:04:20;16:50:524925;2;2
2021:04:20;16:51:103305;2;2
2021:04:20;16:51:772691;2;2
2021:04:20;16:51:100604;2;2
2021:04:20;16:51:277358;2;2
2021:04:20;16:51:969587;2;1
2021:04:20;16:51:950338;2;2
2021:04:20;16:51:015923;2;2
2021:04:20;16:51:694628;2;2
2021:04:20;16:51:161013;2;2
2021:04:20;16:51:840141;2;2
2021:04:20;16:51:507942;2;2
2021:04:20;16:51:291600;2;2
2021:04:20;16:57:410298;2;1
2021:04:20;16:57:580036;2;2
2021:04:20;16:57:843928;2;2
2021:04:20;16:57:019424;2;2
2021:04:20;16:57:284514;2;2
2021:04:20;16:57:460161;2;2
2021:04:20;16:57:225990;2;2
2021:04:20;16:57:402150;2;2
2021:04:21;09:39:102648;1;2
2021:04:21;09:39:103193;2;2
2021:04:21;10:27:955985;2;2
2021:04:21;10:27:957547;1;2
2021:04:21;16:52:319082;1;1
2021:04:21;16:52:006792;1;2
2021:04:21;16:52:432402;2;1
2021:04:21;16:52:208175;2;2
2021:04:21;16:53:503667;2;1
2021:04:21;16:53:373523;2;2
2021:04:21;16:53:217162;1;1
2021:04:21;16:53:289996;1;2
2021:04:21;17:36:362317;2;1
2021:04:21;17:36:736271;2;2
2021:04:21;17:36:410654;2;1
2021:04:21;17:39:640201;2;2
2021:04:21;17:41:241196;2;2
2021:04:22;10:07:957738;2;2
2021:04:22;10:07:959615;1;2
2021:04:22;15:58:295467;2;1
2021:04:22;16:09:516863;2;2
2021:04:22;16:09:207655;1;2
2021:04:22;16:09:801869;1;1
2021:04:22;16:15:318123;1;2
2021:04:22;16:15:325304;2;2
2021:04:23;11:58:677260;2;2
2021:04:30;17:39:111219;1;2
2021:04:30;17:39:113014;2;2
2021:05:08;11:29:418495;1;2
2021:05:08;11:29:420127;2;2
2021:05:08;11:33:361423;2;2
2021:05:08;11:33:363430;1;2
2021:05:08;11:33:065456;2;1
2021:05:08;11:37:806574;2;2
2021:05:08;11:37:427126;2;1
2021:05:08;11:37:097797;2;2
2021:05:26;10:48:074295;1;2
2021:05:26;10:50:749262;1;1
2021:05:26;10:50:523794;1;2
2021:05:26;10:50:510944;1;1
2021:05:26;10:50:488435;1;2
2021:05:26;10:51:472053;2;2
2021:05:26;10:51:473694;1;2
2021:05:26;10:54:917151;1;1
2021:05:26;10:54:692026;1;2
2021:05:26;10:54:021018;2;1
2021:05:26;10:54:795530;2;2
2021:05:26;11:04:044702;1;2
2021:05:26;11:04:074282;2;2
2021:05:26;11:19:359754;1;2
2021:05:26;11:19:363205;2;2
2021:05:26;11:28:066339;1;2
2021:05:26;11:28:066712;2;2
2021:05:26;11:33:294732;1;2
2021:05:26;11:33:296430;2;2
2021:05:26;11:54:997473;1;2
2021:05:26;11:54:996928;2;2
2021:05:26;11:59:845219;1;2
2021:05:26;11:59:867254;2;2
2021:05:26;13:09:630963;2;2
2021:05:26;13:09:631848;1;2
2021:05:26;13:22:367506;1;2
2021:05:26;13:22:368263;2;2
2021:05:26;13:26:164933;2;2
2021:05:26;14:01:787263;2;2
2021:05:26;14:01:786680;1;2
2021:05:26;14:02:742832;1;2
2021:05:26;14:02:744894;2;2
2021:05:26;14:05:264933;1;2
2021:05:26;14:05:266844;2;2
2021:05:26;14:05:606604;2;1
2021:05:26;14:05:283127;2;2
2021:05:26;14:06:261729;1;2
2021:05:26;14:06:264721;2;2
2021:05:26;14:06:907155;2;2
2021:05:26;14:06:255476;2;2
2021:05:26;14:06:530937;1;1
2021:05:26;14:06:607361;1;2
2021:05:26;14:11:150832;1;1
2021:05:26;14:14:809948;1;2
2021:05:26;14:29:686530;1;2
2021:05:26;14:29:705312;2;2
2021:05:26;15:26:110275;1;1
2021:05:26;15:26:588790;1;2
2021:05:26;15:26:976703;1;1
2021:05:26;15:26:362666;1;2
2021:05:26;15:29:261136;1;2
2021:05:26;15:29:260807;2;2
2021:05:26;15:33:431961;2;2
2021:05:26;15:50:556992;2;2
2021:05:26;15:50:560219;1;2
2021:05:26;17:24:075553;2;2
2021:05:26;17:24:076362;1;2
2021:05:27;09:22:370779;1;2
2021:05:27;09:22:370467;2;2
2021:05:27;09:25:931989;2;1
2021:05:27;09:25:410773;2;2
2021:05:27;09:26:383346;1;2
2021:05:27;09:26:656436;1;1
2021:05:27;09:26:259565;1;2
2021:05:27;09:27:912600;2;2
2021:05:27;09:27:912037;1;2
2021:05:27;09:27:494542;1;2
2021:05:27;09:27:119587;1;2
2021:05:27;09:28:786945;2;1
2021:05:27;09:28:362785;2;2
2021:05:27;09:28:213067;1;1
2021:05:27;09:28:691406;1;2
2021:05:27;09:39:152312;1;1
2021:05:27;09:39:976529;1;2
2021:05:27;09:39:387968;2;1
2021:05:27;09:39:983410;2;2
2021:05:27;09:43:039085;2;2
2021:05:27;09:43:039693;1;2
2021:05:27;09:46:464483;1;1
2021:05:27;09:46:424633;1;1
2021:05:27;09:46:423307;1;2
2021:05:27;09:46:423303;1;2
2021:05:27;09:46:632513;2;1
2021:05:27;09:46:660243;2;2
2021:05:27;09:52:533602;2;2
2021:05:27;09:52:533256;1;2
2021:05:27;09:54:604237;2;1
2021:05:27;09:54:054782;2;2
